From	To	Species	Gene Name
ENSBTAG00000002080	CCN3	Bos taurus	cellular communication network factor 3(CCN3)
ENSBTAG00000040330	OR5M11	Bos taurus	olfactory receptor family 5 subfamily M member 11(OR5M11)
ENSBTAG00000042993	LOC112443544	Bos taurus	U6 spliceosomal RNA(LOC112443544)
ENSBTAG00000026032	ZYG11A	Bos taurus	zyg-11 family member A, cell cycle regulator(ZYG11A)
ENSBTAG00000002087	IL36A	Bos taurus	interleukin 36 alpha(IL36A)
ENSBTAG00000028696	LOC112442868	Bos taurus	small nucleolar RNA U3(LOC112442868)
ENSBTAG00000042992	LOC112449161	Bos taurus	U6 spliceosomal RNA(LOC112449161)
ENSBTAG00000002086	PRPF4B	Bos taurus	pre-mRNA processing factor 4B(PRPF4B)
ENSBTAG00000040331	LOC512867	Bos taurus	GTPase, IMAP family member 1-like(LOC512867)
ENSBTAG00000002085	IL36G	Bos taurus	interleukin 36 gamma(IL36G)
ENSBTAG00000042991	LOC112445309	Bos taurus	U6 spliceosomal RNA(LOC112445309)
ENSBTAG00000002084	UNC5C	Bos taurus	unc-5 netrin receptor C(UNC5C)
ENSBTAG00000042990	LOC112442471	Bos taurus	U6 spliceosomal RNA(LOC112442471)
ENSBTAG00000040334	MEX3D	Bos taurus	mex-3 RNA binding family member D(MEX3D)
ENSBTAG00000002089	FAM217A	Bos taurus	family with sequence similarity 217 member A(FAM217A)
ENSBTAG00000042995	LOC112449647	Bos taurus	U6 spliceosomal RNA(LOC112449647)
ENSBTAG00000002088	IL36B	Bos taurus	interleukin 36 beta(IL36B)
ENSBTAG00000040333	QDPR	Bos taurus	quinoid dihydropteridine reductase(QDPR)
ENSBTAG00000015392	TTF2	Bos taurus	transcription termination factor 2(TTF2)
ENSBTAG00000014062	FRMD1	Bos taurus	FERM domain containing 1(FRMD1)
ENSBTAG00000015390	FN3KRP	Bos taurus	fructosamine 3 kinase related protein(FN3KRP)
ENSBTAG00000039340	SCN4B	Bos taurus	sodium voltage-gated channel beta subunit 4(SCN4B)
ENSBTAG00000014060	LSM6	Bos taurus	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM6)
ENSBTAG00000039341	LOC100296121	Bos taurus	zinc finger protein 525(LOC100296121)
ENSBTAG00000015396	RBM24	Bos taurus	RNA binding motif protein 24(RBM24)
ENSBTAG00000038011	SH3RF3	Bos taurus	SH3 domain containing ring finger 3(SH3RF3)
ENSBTAG00000014063	DNAH8	Bos taurus	dynein axonemal heavy chain 8(DNAH8)
ENSBTAG00000039343	ZBTB34	Bos taurus	zinc finger and BTB domain containing 34(ZBTB34)
ENSBTAG00000014064	FGFR2	Bos taurus	fibroblast growth factor receptor 2(FGFR2)
ENSBTAG00000014069	PDK4	Bos taurus	pyruvate dehydrogenase kinase 4(PDK4)
ENSBTAG00000039346	LOC528262	Bos taurus	intestinal-type alkaline phosphatase(LOC528262)
ENSBTAG00000015398	TJP1	Bos taurus	tight junction protein 1(TJP1)
ENSBTAG00000039347	CLEC4D	Bos taurus	C-type lectin domain family 4 member D(CLEC4D)
ENSBTAG00000014068	VDAC3	Bos taurus	voltage dependent anion channel 3(VDAC3)
ENSBTAG00000042989	LOC112443901	Bos taurus	small nucleolar RNA SNORD52(LOC112443901)
ENSBTAG00000014038	CDKL2	Bos taurus	cyclin dependent kinase like 2(CDKL2)
ENSBTAG00000015369	MLLT11	Bos taurus	MLLT11 transcription factor 7 cofactor(MLLT11)
ENSBTAG00000042988	LOC112441699	Bos taurus	U6 spliceosomal RNA(LOC112441699)
